City,Country,Date,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed,Month,Day,Weekday,Is_Weekend,City_Mean_PM25,PM_Ratio,Humidity_Temp,O3_NO2,Lag_PM2.5,Rolling_PM2.5
Bangkok,Thailand,2023-01-01,104.65,129.93,87.44,46.85,7.19,134.22,22.43,28.17,15.7,1,1,6,1,77.46148296593186,1.2415670098837066,631.8531,1.534995249886179,146.15,127.10000000000001
Bangkok,Thailand,2023-01-02,87.48,190.14,71.01,21.82,5.2,47.61,5.77,59.02,14.52,1,2,0,0,77.46148296593186,2.173525128769418,340.5454,0.6704688536165534,104.65,112.76
Bangkok,Thailand,2023-01-02,122.48,140.38,99.6,33.16,1.91,163.06,38.72,68.47,7.16,1,2,0,0,77.46148296593186,1.146146216023333,2651.1584,1.6371484300051777,87.48,104.87
Bangkok,Thailand,2023-01-03,10.35,109.44,72.19,15.96,2.05,50.8,2.82,94.42,2.11,1,3,1,0,77.46148296593186,10.573902827147027,266.26439999999997,0.7036984757309217,122.48,73.43666666666667
Bangkok,Thailand,2023-01-03,46.66,12.14,49.4,2.97,3.01,169.44,-6.93,24.56,1.99,1,3,1,0,77.46148296593186,0.2601799699571432,-170.2008,3.4299588198463926,10.35,59.82999999999999
Bangkok,Thailand,2023-01-03,63.42,48.95,19.46,16.75,6.83,132.83,19.62,68.51,8.99,1,3,1,0,77.46148296593186,0.7718384150365161,1344.1662000000001,6.825792998050875,46.66,40.14333333333334
Bangkok,Thailand,2023-01-04,119.8,63.31,28.33,19.67,1.46,67.52,27.96,12.94,1.85,1,4,2,0,77.46148296593186,0.5284640627325491,361.8024,2.383338375101174,63.42,76.62666666666667
Bangkok,Thailand,2023-01-05,95.64,192.46,37.28,46.64,8.5,159.19,14.02,91.29,2.49,1,5,3,0,77.46148296593186,2.012337723511321,1279.8858,4.270116880333454,119.8,92.95333333333333
Bangkok,Thailand,2023-01-06,143.11,183.59,66.05,41.61,5.72,181.74,18.76,75.48,9.36,1,6,4,0,77.46148296593186,1.282859249328541,1416.0048000000002,2.7515514380694266,95.64,119.51666666666667
Bangkok,Thailand,2023-01-06,118.73,151.52,68.67,19.02,1.13,95.63,-6.13,31.18,10.59,1,6,4,0,77.46148296593186,1.276172721622781,-191.1334,1.392602098062895,143.11,119.16000000000001
